#########################################
# FORMAT = TEX; MJX_ID; WIDTH; HEIGHT; DELTA_X
# keep alphabetical order in categories!
# 2023 by Andreas Schwenk
#########################################

# ----- special chars (only used in context) -----
\dot; TEX-N-2D9; 500; 750; 0
\hat; TEX-N-5E; 500; 750; 0
\sqrt; TEX-N-221A; 860; 750; 100
\tilde; TEX-N-7E; 550; 350; 0

# ----- uppercase alphabet -----
A; TEX-I-1D434; 800; 750; 0
B; TEX-I-1D435; 800; 750; 0
C; TEX-I-1D436; 800; 750; 0
D; TEX-I-1D437; 800; 750; 0
E; TEX-I-1D438; 800; 750; 0
F; TEX-I-1D439; 800; 750; 0
G; TEX-I-1D43A; 800; 750; 0
H; TEX-I-1D43B; 800; 750; 0
I; TEX-I-1D43C; 550; 750; 0
J; TEX-I-1D43D; 650; 750; 0
K; TEX-I-1D43E; 800; 750; 0
L; TEX-I-1D43F; 800; 750; 0
M; TEX-I-1D440; 950; 750; 0
N; TEX-I-1D441; 800; 750; 0
O; TEX-I-1D442; 800; 750; 0
P; TEX-I-1D443; 800; 750; 0
Q; TEX-I-1D444; 800; 750; 0
R; TEX-I-1D445; 800; 750; 0
S; TEX-I-1D446; 800; 750; 0
T; TEX-I-1D447; 800; 750; 0
U; TEX-I-1D448; 800; 750; 0
V; TEX-I-1D449; 800; 750; 0
W; TEX-I-1D44A; 900; 750; 0
X; TEX-I-1D44B; 850; 750; 0
Y; TEX-I-1D44C; 750; 750; 0
Z; TEX-I-1D44D; 800; 750; 0

# ----- lowercase alphabet -----
a; TEX-I-1D44E; 550; 500; 0
b; TEX-I-1D44F; 450; 750; 0
c; TEX-I-1D450; 500; 500; 0
d; TEX-I-1D451; 550; 750; 0
e; TEX-I-1D452; 450; 500; 0
f; TEX-I-1D453; 550; 750; 0
g; TEX-I-1D454; 550; 500; 0
h; TEX-I-210E; 550; 750; 0
i; TEX-I-1D456; 350; 750; 0
j; TEX-I-1D457; 400; 750; 0
k; TEX-I-1D458; 550; 750; 0
l; TEX-I-1D459; 350; 750; 0
m; TEX-I-1D45A; 850; 500; 0
n; TEX-I-1D45B; 600; 500; 0
o; TEX-I-1D45C; 550; 500; 0
p; TEX-I-1D45D; 550; 500; 0
q; TEX-I-1D45E; 550; 500; 0
r; TEX-I-1D45F; 450; 500; 0
s; TEX-I-1D460; 475; 500; 0
t; TEX-I-1D461; 400; 750; 0
u; TEX-I-1D462; 600; 500; 0
v; TEX-I-1D463; 500; 500; 0
w; TEX-I-1D464; 750; 500; 0
x; TEX-I-1D465; 550; 500; 0
y; TEX-I-1D466; 500; 500; 0
z; TEX-I-1D467; 500; 500; 0

# ----- numbers -----
0; TEX-N-30; 500; 750; 0
1; TEX-N-31; 500; 750; 0
2; TEX-N-32; 500; 750; 0
3; TEX-N-33; 500; 750; 0
4; TEX-N-34; 500; 750; 0
5; TEX-N-35; 500; 750; 0
6; TEX-N-36; 500; 750; 0
7; TEX-N-37; 500; 750; 0
8; TEX-N-38; 500; 750; 0
9; TEX-N-39; 500; 750; 0

# ----- standard -----
-; TEX-N-2212; 1200; 750; 200
.; TEX-N-2E; 250; 250; 0
,; TEX-N-2C; 350; 250; 0
:; TEX-N-3A; 350; 650; 0
!; TEX-N-21; 350; 750; 0
'; TEX-V-2032; 350; 750; 0
(; TEX-N-28; 350; 800; 0
); TEX-N-29; 300; 800; 0
[; TEX-N-5B; 300; 750; 0
]; TEX-N-5D; 300; 750; 0
\{; TEX-N-7B; 475; 750; 0
\}; TEX-N-7D; 475; 750; 0
*; TEX-N-2217; 700; 550; 100
\cdot; TEX-N-22C5; 500; 600; 100
/; TEX-N-2F; 700; 850; 150
+; TEX-N-2B; 1200; 750; 200
<; TEX-N-3C; 1200; 650; 200
=; TEX-N-3D; 1200; 650; 200
>; TEX-N-3E; 1200; 650; 200
|; TEX-N-7C; 300; 850; 50
?; TEX-N-3F; 450; 750; 0

# ----- Greek -----
\alpha; TEX-I-1D6FC; 650; 550; 0
\beta; TEX-I-1D6FD; 650; 750; 0
\gamma; TEX-I-1D6FE; 650; 550; 0
\Gamma; TEX-N-393; 700; 750; 0
\delta; TEX-I-1D6FF; 650; 750; 0
\Delta; TEX-N-394; 800; 750; 0
\epsilon; TEX-I-1D716; 550; 550; 0
\varepsilon; TEX-I-1D700; 550; 550; 0
\zeta; TEX-I-1D701; 650; 750; 0
\eta; TEX-I-1D702; 650; 550; 0
\theta; TEX-I-1D703; 650; 750; 0
\vartheta; TEX-I-1D717; 650; 750; 0
\Theta; TEX-N-398; 700; 750; 0
\iota; TEX-I-1D704; 450; 550; 0
\kappa; TEX-I-1D705; 650; 550; 0
\lambda; TEX-I-1D706; 650; 750; 0
\Lambda; TEX-N-39B; 650; 750; 0
\mu; TEX-I-1D707; 650; 550; 0
\nu; TEX-I-1D708; 650; 550; 0
\xi; TEX-I-1D709; 650; 750; 0
\Xi; TEX-N-39E; 650; 750; 0
\pi; TEX-I-1D70B; 650; 550; 0
\Pi; TEX-N-3A0; 750; 750; 0
\rho; TEX-I-1D70C; 650; 550; 0
\varrho; TEX-I-1D71A; 650; 550; 0
\varsigma; TEX-I-1D70D; 650; 550; 0
\sigma; TEX-I-1D70E; 650; 550; 0
\Sigma; TEX-N-3A3; 650; 750; 0
\tau; TEX-I-1D70F; 750; 550; 0
\upsilon; TEX-I-1D710; 650; 550; 0
\Upsilon; TEX-N-3A5; 750; 750; 0
\phi; TEX-I-1D719; 650; 750; 0
\varphi; TEX-I-1D711; 650; 550; 0
\Phi; TEX-N-3A6; 750; 750; 0
\chi; TEX-I-1D712; 650; 550; 0
\psi; TEX-I-1D713; 650; 750; 0
\Psi; TEX-N-3A8; 750; 750; 0
\omega; TEX-I-1D714; 650; 550; 0
\Omega; TEX-N-3A9; 750; 750; 0

# ----- Misc -----
\angle; TEX-N-2220; 700; 750; 0
\approx; TEX-N-2248; 1200; 750; 200
\blacksquare; TEX-I-25FC; 750; 750; 0
\Box; TEX-I-25FB; 800; 750; 0
\boxtimes; TEX-N-22A0; 750; 750; 0
\cap; TEX-N-2229; 950; 750; 250
\cdots; TEX-N-22EF; 1250; 750; 0
\circ; TEX-N-2218; 600; 750; 50
\complement; TEX-I-2201; 500; 750; 0
\cong; TEX-N-2245; 750; 750; 0
\cup; TEX-N-222A; 950; 750; 250
\ddots; TEX-N-22F1; 1250; 850; 0
\div; TEX-N-F7; 775; 700; 0
\dots; TEX-N-2026; 1250; 350; 0
\downarrow; TEX-N-2193; 950; 750; 200
\Downarrow; TEX-N-21D3; 950; 750; 200
\emptyset; TEX-N-2205; 500; 750; 0
\equiv; TEX-N-2261; 850; 650; 0
\exists; TEX-N-2203; 750; 750; 50
\forall; TEX-N-2200; 750; 750; 50
\geq; TEX-N-2265; 950; 750; 100
\Im; TEX-N-2111; 575; 750; 0
\in; TEX-N-2208; 950; 750; 100
\infty; TEX-N-221E; 1000; 550; 0
\int; TEX-LO-222B; 1000; 750; 0
\int-INLINE; TEX-SO-222B; 1000; 750; 0
\land; TEX-N-2227; 950; 750; 100
\langle; TEX-N-27E8; 350; 750; 0
\leftarrow; TEX-N-2190; 1400; 750; 200
\Leftarrow; TEX-N-21D0; 1400; 750; 200
\leftharpoondown; TEX-N-21BD; 1400; 750; 200
\leftharpoonup; TEX-N-21BC; 1400; 750; 200
\leftrightarrow; TEX-N-2194; 1400; 750; 200
\Leftrightarrow; TEX-N-21D4; 1400; 750; 200
\Longleftrightarrow; TEX-N-27FA; 1900; 750; 200
\leq; TEX-N-2264; 950; 750; 100
\lnot; TEX-N-AC; 700; 750; 0
\longmapsto; TEX-N-27FC; 2000; 750; 200
\lor; TEX-N-2228; 950; 750; 100
\mapsto; TEX-N-21A6; 1100; 750; 100
\nabla; TEX-N-2207; 800; 750; 0
\nearrow; TEX-N-2197; 1400; 750; 200
\neg; TEX-N-AC; 700; 750; 0
\neq; TEX-N-2260; 800; 750; 0
\notin; TEX-N-2209; 950; 750; 100
\nwarrow; TEX-N-2196; 1400; 750; 200
\oint; TEX-LO-222E; 1000; 750; 0
\oint-INLINE; TEX-SO-222E; 1000; 750; 0
\oplus; TEX-N-2295; 750; 750; 0
\otimes; TEX-N-2297; 750; 750; 0
\partial; TEX-I-1D715; 575; 750; 0
\perp; TEX-N-22A5; 750; 750; 0
\pm; TEX-N-B1; 1200; 750; 200
\prod; TEX-LO-220F; 1400; 750; 0
\prod-INLINE; TEX-SO-220F; 1000; 750; 0
\rangle; TEX-N-27E9; 350; 750; 0
\Re; TEX-N-211C; 875; 750; 0
\rightarrow; TEX-N-2192; 1400; 750; 200
\Rightarrow; TEX-N-21D2; 1400; 750; 200
\rightharpoondown; TEX-N-21C1; 1400; 750; 200
\rightharpoonup; TEX-N-21C0; 1400; 750; 200
\rightleftharpoons; TEX-V-21CC; 1400; 750; 200
\searrow; TEX-N-2198; 1400; 750; 200
\setminus; TEX-N-2216; 800; 750; 200
\sim; TEX-N-223C; 800; 750; 0
\simeq; TEX-N-2243; 1000; 750; 0
\square; TEX-I-25FB; 750; 750; 0
\subset; TEX-N-2282; 750; 750; 0
\subseteq; TEX-N-2286; 750; 750; 0
\sum; TEX-LO-2211; 1500; 750; 0
\sum-INLINE; TEX-SO-2211; 1100; 650; 0
\supset; TEX-N-2283; 750; 750; 0
\supseteq; TEX-N-2287; 750; 750; 0
\swarrow; TEX-N-2199; 1400; 750; 200
\times; TEX-N-D7; 950; 750; 100
\to; TEX-N-2192; 1200; 750; 100
\triangle; TEX-N-25B3; 850; 750; 0
\uparrow; TEX-N-2191; 900; 750; 200
\Uparrow; TEX-N-21D1; 1000; 750; 200
\Updownarrow; TEX-N-21D5; 1000; 750; 200
\varnothing; TEX-V-2205; 750; 750; 0
\vdots; TEX-N-22EE; 250; 750; 0
\wedge; MJX-1-TEX-N-2227; 1000; 750; 200
\wp; TEX-N-2118; 675; 750; 0

# ----- large text -----
\text{A}; TEX-N-41; 750; 750; 0
\text{B}; TEX-N-42; 700; 750; 0
\text{C}; TEX-N-43; 750; 750; 0
\text{D}; TEX-N-44; 750; 750; 0
\text{E}; TEX-N-45; 750; 750; 0
\text{F}; TEX-N-46; 700; 750; 0
\text{G}; TEX-N-47; 750; 750; 0
\text{H}; TEX-N-48; 750; 750; 0
\text{I}; TEX-N-49; 350; 750; 0
\text{J}; TEX-N-4A; 450; 750; 0
\text{K}; TEX-N-4B; 750; 750; 0
\text{L}; TEX-N-4C; 650; 750; 0
\text{M}; TEX-N-4D; 850; 750; 0
\text{N}; TEX-N-4E; 750; 750; 0
\text{O}; TEX-N-4F; 750; 750; 0
\text{P}; TEX-N-50; 700; 750; 0
\text{Q}; TEX-N-51; 750; 750; 0
\text{R}; TEX-N-52; 750; 750; 0
\text{S}; TEX-N-53; 500; 750; 0
\text{T}; TEX-N-54; 750; 750; 0
\text{U}; TEX-N-55; 750; 750; 0
\text{V}; TEX-N-56; 750; 750; 0
\text{W}; TEX-N-57; 1000; 750; 0
\text{X}; TEX-N-58; 750; 750; 0
\text{Y}; TEX-N-59; 750; 750; 0
\text{Z}; TEX-N-5A; 650; 750; 0

# ----- small text -----
\text{a}; TEX-N-61; 550; 500; 0
\text{b}; TEX-N-62; 550; 750; 0
\text{c}; TEX-N-63; 500; 500; 0
\text{d}; TEX-N-64; 550; 750; 0
\text{e}; TEX-N-65; 500; 500; 0
\text{f}; TEX-N-66; 350; 750; 0
\text{g}; TEX-N-67; 550; 500; 0
\text{h}; TEX-N-68; 550; 750; 0
\text{i}; TEX-N-69; 250; 750; 0
\text{j}; TEX-N-6A; 300; 750; 0
\text{k}; TEX-N-6B; 550; 750; 0
\text{l}; TEX-N-6C; 350; 750; 0
\text{m}; TEX-N-6D; 800; 500; 0
\text{n}; TEX-N-6E; 550; 500; 0
\text{o}; TEX-N-6F; 500; 500; 0
\text{p}; TEX-N-70; 550; 500; 0
\text{q}; TEX-N-71; 550; 500; 0
\text{r}; TEX-N-72; 450; 500; 0
\text{s}; TEX-N-73; 375; 500; 0
